gender,PlaceofBirth,StageID,Topic,ParentAnsweringSurvey,ParentInteractionLevel,StudentAbsenceDays,Class
M,Andhra Pradesh,lowerlevel,IT,Yes,Good,Under-7,M
M,Andhra Pradesh,lowerlevel,IT,Yes,Good,Under-7,M
M,Andhra Pradesh,lowerlevel,IT,No,Bad,Above-7,M
M,Andhra Pradesh,lowerlevel,IT,No,Bad,Above-7,M
M,Andhra Pradesh,lowerlevel,IT,No,Bad,Above-7,M
F,Andhra Pradesh,lowerlevel,IT,Yes,Bad,Above-7,M
M,Andhra Pradesh,MiddleSchool,Math,No,Bad,Above-7,M
M,Andhra Pradesh,MiddleSchool,Math,Yes,Good,Under-7,M
F,Andhra Pradesh,MiddleSchool,Math,Yes,Good,Under-7,M
F,Andhra Pradesh,MiddleSchool,IT,Yes,Good,Under-7,M
M,Andhra Pradesh,MiddleSchool,Math,Yes,Good,Under-7,H
M,Andhra Pradesh,MiddleSchool,Math,Yes,Good,Under-7,M
M,Andhra Pradesh,lowerlevel,IT,No,Bad,Above-7,M
M,Assam,MiddleSchool,Math,No,Bad,Above-7,M
F,Andhra Pradesh,MiddleSchool,Math,No,Bad,Above-7,H
F,Andhra Pradesh,MiddleSchool,IT,Yes,Good,Under-7,M
M,Andhra Pradesh,MiddleSchool,IT,No,Bad,Above-7,M
M,Andhra Pradesh,MiddleSchool,Math,No,Bad,Above-7,M
F,Andhra Pradesh,MiddleSchool,IT,Yes,Good,Under-7,M
M,Andhra Pradesh,MiddleSchool,IT,Yes,Good,Under-7,H
F,Andhra Pradesh,MiddleSchool,IT,No,Bad,Above-7,M
F,Andhra Pradesh,MiddleSchool,IT,No,Bad,Under-7,M
M,Andhra Pradesh,MiddleSchool,IT,No,Bad,Under-7,M
M,Andhra Pradesh,MiddleSchool,IT,No,Bad,Above-7,M
M,Andhra Pradesh,MiddleSchool,IT,Yes,Good,Above-7,M
M,Andhra Pradesh,MiddleSchool,IT,Yes,Good,Above-7,M
M,Andhra Pradesh,MiddleSchool,IT,Yes,Bad,Under-7,M
M,Andhra Pradesh,MiddleSchool,Arabic,No,Bad,Above-7,M
M,Andhra Pradesh,MiddleSchool,Science,Yes,Good,Under-7,M
F,Andhra Pradesh,MiddleSchool,Arabic,No,Bad,Under-7,M
F,Andhra Pradesh,MiddleSchool,Arabic,Yes,Good,Under-7,H
M,Andhra Pradesh,MiddleSchool,IT,Yes,Good,Above-7,M
F,Andhra Pradesh,lowerlevel,IT,Yes,Good,Above-7,M
M,Andhra Pradesh,lowerlevel,English,No,Bad,Above-7,M
M,Andhra Pradesh,MiddleSchool,Science,No,Bad,Above-7,M
M,Andhra Pradesh,MiddleSchool,English,No,Bad,Above-7,M
M,Andhra Pradesh,MiddleSchool,Science,Yes,Good,Above-7,M
F,Rajasthan,MiddleSchool,IT,Yes,Good,Under-7,M
M,Andhra Pradesh,MiddleSchool,IT,No,Bad,Above-7,M
F,Karnataka,MiddleSchool,Science,Yes,Good,Under-7,M
F,Andhra Pradesh,MiddleSchool,IT,No,Bad,Above-7,M
M,Andhra Pradesh,MiddleSchool,IT,No,Good,Under-7,M
M,Andhra Pradesh,HighSchool,IT,Yes,Good,Above-7,M
F,Andhra Pradesh,HighSchool,IT,Yes,Good,Under-7,M
F,Andhra Pradesh,HighSchool,IT,No,Bad,Under-7,M
M,Andhra Pradesh,MiddleSchool,Quran,No,Good,Above-7,M
M,Andhra Pradesh,lowerlevel,English,No,Bad,Above-7,M
F,Andhra Pradesh,HighSchool,English,Yes,Good,Under-7,H
F,Andhra Pradesh,HighSchool,English,Yes,Good,Under-7,H
F,Andhra Pradesh,HighSchool,English,Yes,Good,Under-7,M
F,Andhra Pradesh,HighSchool,English,No,Bad,Above-7,M
M,Andhra Pradesh,HighSchool,English,No,Good,Above-7,M
F,Andhra Pradesh,HighSchool,English,No,Bad,Under-7,M
F,Andhra Pradesh,HighSchool,Science,Yes,Good,Under-7,H
M,Andhra Pradesh,HighSchool,English,No,Bad,Above-7,M
M,Andhra Pradesh,MiddleSchool,Math,Yes,Good,Above-7,M
M,Tamil Nadu,MiddleSchool,Math,Yes,Good,Above-7,M
M,Andhra Pradesh,MiddleSchool,Math,Yes,Good,Above-7,M
M,Andhra Pradesh,MiddleSchool,Math,Yes,Good,Under-7,M
F,Tamil Nadu,MiddleSchool,Math,No,Good,Under-7,M
F,Bihar,lowerlevel,English,No,Good,Above-7,M
M,Andhra Pradesh,HighSchool,IT,Yes,Good,Under-7,M
M,Andhra Pradesh,HighSchool,IT,Yes,Bad,Under-7,M
M,Andhra Pradesh,HighSchool,IT,No,Bad,Above-7,M
M,Andhra Pradesh,HighSchool,English,No,Bad,Above-7,M
F,Andhra Pradesh,HighSchool,English,No,Bad,Above-7,M
F,Tamil Nadu,HighSchool,English,Yes,Good,Under-7,H
F,Tamil Nadu,HighSchool,IT,Yes,Good,Under-7,H
M,Bihar,MiddleSchool,IT,No,Bad,Under-7,M
M,Bihar,MiddleSchool,IT,Yes,Good,Above-7,M
M,Andhra Pradesh,MiddleSchool,IT,Yes,Good,Under-7,M
M,Andhra Pradesh,MiddleSchool,Math,No,Bad,Under-7,M
F,Andhra Pradesh,MiddleSchool,English,Yes,Bad,Above-7,M
